locus_tag	gene_name	start_site	end_site	gene_length
non_coding_160	region	175096	175107	12
non_coding_161	region	176529	176552	24
non_coding_163	region	176955	177001	47
non_coding_164	region	177625	177662	38
non_coding_166	region	179154	179237	84
non_coding_167	region	180755	180884	130
non_coding_168	region	182309	182463	155
non_coding_169	region	183621	183709	89
non_coding_170	region	184096	184257	162
non_coding_171	region	185070	185123	54
non_coding_172	region	185948	185978	31
non_coding_173	region	188651	188712	62
non_coding_174	region	189507	189712	206
non_coding_175	region	189848	189874	27
non_coding_176	region	190600	190857	258
non_coding_177	region	191709	191855	147
non_coding_178	region	192581	192872	292
non_coding_179	region	193430	193521	92
non_coding_180	region	194718	194784	67
non_coding_181	region	194845	194903	59
non_coding_182	region	195665	195677	13
non_coding_183	region	196535	196546	12
non_coding_184	region	197899	197928	30
non_coding_185	region	200361	200482	122
non_coding_186	region	200968	200971	4
non_coding_187	region	201997	202101	105
non_coding_188	region	202557	202560	4
non_coding_189	region	203349	203348	0
non_coding_191	region	205090	205126	37
non_coding_192	region	208609	208621	13
non_coding_193	region	209581	209679	99
non_coding_194	region	211821	211877	57
non_coding_195	region	212267	212331	65
non_coding_196	region	213630	213678	49
non_coding_198	region	214126	214291	166
non_coding_200	region	215256	215269	14
non_coding_201	region	215980	216179	200
non_coding_202	region	217004	217057	54
non_coding_203	region	218776	218887	112
non_coding_205	region	219996	220113	118
non_coding_206	region	220929	220968	40
non_coding_208	region	222646	222833	188
non_coding_209	region	223409	223771	363
non_coding_210	region	225313	225381	69
non_coding_211	region	225458	225500	43
non_coding_212	region	225576	225759	184
non_coding_213	region	228663	228756	94
non_coding_214	region	228876	228928	53
non_coding_215	region	229005	229167	163
non_coding_217	region	230882	231122	241
non_coding_218	region	231923	231926	4
non_coding_219	region	232550	232597	48
non_coding_220	region	233956	234027	72
non_coding_222	region	234321	234816	496
non_coding_224	region	236003	236067	65
non_coding_225	region	236799	236931	133
non_coding_226	region	237008	237335	328
non_coding_227	region	238121	238257	137
non_coding_228	region	238737	238746	10
non_coding_229	region	239085	239190	106
non_coding_230	region	239379	239419	41
non_coding_231	region	240190	240343	154
non_coding_232	region	240817	240859	43
non_coding_233	region	243304	243543	240
non_coding_234	region	244122	244327	206
non_coding_236	region	245806	245961	156
non_coding_237	region	246240	246242	3
non_coding_238	region	246503	246712	210
non_coding_239	region	247462	247637	176
non_coding_240	region	248135	248358	224
non_coding_241	region	250071	250072	2
non_coding_242	region	250828	250898	71
non_coding_243	region	251954	252005	52
non_coding_244	region	252299	252301	3
non_coding_245	region	252700	252709	10
non_coding_246	region	253162	253467	306
non_coding_248	region	254203	254259	57
non_coding_249	region	255717	255977	261
non_coding_250	region	256436	256527	92
non_coding_251	region	257772	257829	58
non_coding_254	region	258621	259045	425
non_coding_255	region	260101	260388	288
non_coding_256	region	261492	261503	12
non_coding_257	region	262757	262871	115
non_coding_258	region	262947	263150	204
non_coding_259	region	263213	263328	116
non_coding_260	region	263670	263690	21
non_coding_261	region	264008	264026	19
non_coding_262	region	264248	264256	9
non_coding_263	region	264733	264748	16
non_coding_264	region	265207	265304	98
non_coding_265	region	265544	265620	77
non_coding_266	region	266088	266110	23
non_coding_267	region	266554	266553	0
non_coding_268	region	266775	266776	2
non_coding_269	region	266968	267184	217
non_coding_270	region	268006	268097	92
non_coding_271	region	268961	269289	329
non_coding_272	region	270183	270278	96
non_coding_274	region	271755	272580	826
non_coding_275	region	272655	272847	193
non_coding_276	region	273993	274101	109
non_coding_277	region	275082	275325	244
non_coding_279	region	277648	277756	109
non_coding_280	region	278803	278814	12
non_coding_281	region	279163	279178	16
non_coding_283	region	279876	279931	56
non_coding_284	region	280105	280114	10
non_coding_285	region	280363	280385	23
non_coding_286	region	280736	280829	94
non_coding_287	region	281984	282278	295
non_coding_288	region	283187	283201	15
non_coding_289	region	285169	285395	227
non_coding_290	region	286778	286789	12
non_coding_291	region	288400	288404	5
non_coding_292	region	289163	289301	139
non_coding_294	region	290371	290510	140
non_coding_295	region	290639	290649	11
non_coding_297	region	291347	291500	154
non_coding_298	region	292232	292322	91
non_coding_299	region	292949	293220	272
non_coding_300	region	293919	293945	27
non_coding_301	region	294800	294918	119
non_coding_303	region	295580	295696	117
non_coding_304	region	297097	297381	285
non_coding_306	region	298727	298736	10
non_coding_309	region	302574	302991	418
non_coding_310	region	303606	303853	248
non_coding_311	region	304183	304495	313
non_coding_314	region	309333	309358	26
non_coding_315	region	310027	310084	58
non_coding_316	region	310672	310746	75
non_coding_317	region	311337	312112	776
non_coding_318	region	312340	312374	35
non_coding_319	region	312515	312514	0
non_coding_320	region	312778	313141	364
non_coding_321	region	313243	313716	474
non_coding_322	region	313806	314357	552
non_coding_323	region	315245	315291	47
non_coding_326	region	317137	317439	303
non_coding_327	region	317568	317726	159
non_coding_328	region	318320	318331	12
non_coding_329	region	318568	318676	109
non_coding_330	region	320002	320227	226
non_coding_331	region	321082	321608	527
non_coding_332	region	322328	322338	11
non_coding_334	region	324454	324696	243
non_coding_335	region	325365	325577	213
non_coding_336	region	327248	327261	14
non_coding_337	region	328734	328747	14
non_coding_338	region	329335	329463	129
non_coding_339	region	331497	331802	306
non_coding_340	region	331877	332371	495
non_coding_341	region	333460	333501	42
non_coding_342	region	334434	334525	92
non_coding_343	region	335023	335280	258
non_coding_344	region	335886	335925	40
non_coding_346	region	338326	338325	0
non_coding_347	region	339744	339769	26
non_coding_348	region	340090	340165	76
non_coding_349	region	341116	341125	10
non_coding_350	region	342508	342884	377
non_coding_351	region	343934	344176	243
non_coding_352	region	344992	345404	413
non_coding_353	region	345650	345666	17
non_coding_354	region	346338	346484	147
non_coding_355	region	346760	346857	98
non_coding_356	region	348444	348682	239
non_coding_357	region	349573	350012	440
non_coding_358	region	351182	351215	34
non_coding_359	region	352667	352706	40
non_coding_360	region	354593	354922	330
non_coding_362	region	357455	357791	337
non_coding_363	region	358691	358799	109
non_coding_364	region	359459	359489	31
non_coding_365	region	359960	359992	33
non_coding_366	region	361147	361249	103
non_coding_367	region	361861	361926	66
non_coding_368	region	363180	363231	52
non_coding_369	region	366306	366428	123
non_coding_370	region	367511	367587	77
non_coding_371	region	368421	368611	191
non_coding_372	region	370276	370277	2
non_coding_373	region	371222	371239	18
non_coding_374	region	372106	372115	10
non_coding_377	region	374882	375459	578
non_coding_378	region	376671	376772	102
non_coding_379	region	377312	377535	224
non_coding_380	region	378369	378462	94
non_coding_381	region	379572	379606	35
non_coding_382	region	379882	380069	188
non_coding_383	region	380843	380844	2
non_coding_386	region	382580	382739	160
non_coding_387	region	383936	383960	25
non_coding_389	region	384617	385232	616
non_coding_390	region	386195	386207	13
non_coding_393	region	388647	388753	107
non_coding_394	region	389728	390251	524
non_coding_396	region	391649	391739	91
non_coding_398	region	392902	394506	1605
non_coding_399	region	395130	395130	1
non_coding_400	region	396288	396639	352
non_coding_401	region	397860	397872	13
non_coding_402	region	398967	399025	59
non_coding_403	region	399334	399593	260
non_coding_404	region	399806	399829	24
non_coding_405	region	400924	401386	463
non_coding_406	region	401647	401747	101
non_coding_407	region	403163	403281	119
non_coding_408	region	403602	403703	102
non_coding_409	region	404819	404835	17
non_coding_410	region	405645	405764	120
non_coding_411	region	406223	406405	183
non_coding_412	region	406930	406979	50
non_coding_413	region	407171	407428	258
non_coding_414	region	408106	408177	72
non_coding_415	region	408462	408609	148
non_coding_417	region	409031	409108	78
non_coding_418	region	410020	410144	125
non_coding_419	region	411053	411297	245
non_coding_420	region	412482	412607	126
non_coding_422	region	416953	417142	190
non_coding_423	region	417832	417889	58
non_coding_424	region	419185	419591	407
non_coding_425	region	420911	420986	76
non_coding_426	region	422360	422518	159
non_coding_427	region	424333	424337	5
non_coding_428	region	424919	425011	93
non_coding_429	region	426082	426137	56
non_coding_430	region	427265	427287	23
non_coding_431	region	427620	427647	28
non_coding_432	region	429495	429505	11
non_coding_433	region	430477	430605	129
non_coding_434	region	430953	431129	177
non_coding_435	region	432014	432312	299
non_coding_436	region	432852	433002	151
non_coding_437	region	433452	433455	4
non_coding_438	region	434559	434647	89
non_coding_439	region	435118	435137	20
non_coding_440	region	435557	435634	78
non_coding_442	region	437108	437161	54
non_coding_443	region	438136	438315	180
non_coding_444	region	440178	440202	25
non_coding_445	region	441102	441101	0
non_coding_446	region	441344	441549	206
non_coding_447	region	442998	443051	54
non_coding_449	region	444516	444683	168
non_coding_450	region	445175	445302	128
non_coding_451	region	446667	446815	149
non_coding_452	region	447706	447717	12
non_coding_453	region	448047	448046	0
non_coding_455	region	450642	450663	22
non_coding_456	region	451611	452070	460
non_coding_457	region	453546	453589	44
non_coding_458	region	454168	454472	305
non_coding_459	region	454790	455133	344
non_coding_460	region	456432	456677	246
non_coding_461	region	457301	457426	126
non_coding_462	region	458701	458888	188
non_coding_463	region	461243	461451	209
non_coding_464	region	461724	461915	192
non_coding_465	region	463787	463937	151
non_coding_466	region	464309	464402	94
non_coding_467	region	464801	464852	52
non_coding_468	region	465548	465612	65
non_coding_469	region	467313	467412	100
non_coding_470	region	468231	468383	153
non_coding_471	region	468842	468871	30
non_coding_473	region	472418	472598	181
non_coding_474	region	472937	472966	30
non_coding_475	region	474253	474301	49
non_coding_476	region	475162	475379	218
non_coding_477	region	475952	475982	31
non_coding_478	region	476372	476448	77
non_coding_479	region	476562	476672	111
non_coding_480	region	477026	477067	42
non_coding_481	region	478618	478781	164
non_coding_482	region	479252	479367	116
non_coding_483	region	479919	480090	172
non_coding_484	region	480309	480334	26
non_coding_485	region	480709	481254	546
non_coding_486	region	484404	484426	23
non_coding_487	region	485620	485761	142
non_coding_488	region	486409	486536	128
non_coding_489	region	489899	490110	212
non_coding_490	region	490272	490285	14
non_coding_491	region	490813	490882	70
non_coding_492	region	491260	491412	153
non_coding_493	region	491964	492092	129
non_coding_494	region	494024	494076	53
non_coding_495	region	494406	494405	0
non_coding_496	region	495011	495120	110
non_coding_497	region	496995	497175	181
non_coding_498	region	497820	498055	236
non_coding_500	region	499974	500125	152
non_coding_501	region	501430	501562	133
non_coding_502	region	503239	503476	238
non_coding_503	region	504697	504914	218
non_coding_504	region	506567	506603	37
non_coding_505	region	507083	507204	122
non_coding_507	region	508081	508218	138
non_coding_508	region	508560	508875	316
non_coding_509	region	511380	511641	262
non_coding_510	region	512574	512576	3
non_coding_511	region	513869	513993	125
non_coding_512	region	514401	514401	1
non_coding_514	region	515774	515919	146
non_coding_516	region	517363	517425	63
non_coding_517	region	518280	518340	61
non_coding_521	region	522831	523261	431
non_coding_522	region	527542	527581	40
non_coding_523	region	527950	527949	0
non_coding_525	region	529131	529497	367
non_coding_526	region	529593	529645	53
non_coding_527	region	530017	530132	116
non_coding_528	region	531227	531295	69
non_coding_529	region	532222	532451	230
non_coding_530	region	532934	533011	78
non_coding_532	region	533864	533916	53
non_coding_533	region	535698	535710	13
non_coding_534	region	536487	536586	100
non_coding_535	region	537465	537633	169
non_coding_536	region	539088	539147	60
non_coding_537	region	540509	540565	57
non_coding_538	region	541867	541888	22
non_coding_539	region	543034	543261	228
non_coding_540	region	544047	544057	11
non_coding_541	region	545293	545314	22
non_coding_542	region	546364	546680	317
non_coding_543	region	548348	548357	10
non_coding_544	region	549617	549627	11
non_coding_546	region	551333	551527	195
non_coding_548	region	553101	553218	118
non_coding_549	region	553941	553943	3
non_coding_550	region	554438	554611	174
non_coding_551	region	555997	556032	36
non_coding_552	region	556554	556661	108
non_coding_553	region	556874	556875	2
non_coding_554	region	557742	558212	471
non_coding_555	region	558755	558974	220
non_coding_556	region	559667	559697	31
non_coding_557	region	562301	562336	36
non_coding_558	region	563320	563330	11
non_coding_559	region	563846	563848	3
non_coding_560	region	564481	564723	243
non_coding_561	region	564800	564815	16
non_coding_563	region	566080	566098	19
non_coding_564	region	566362	566376	15
non_coding_568	region	568005	568315	311
non_coding_569	region	568648	568695	48
non_coding_570	region	568845	568902	58
non_coding_571	region	570429	570893	465
non_coding_572	region	571445	571454	10
non_coding_573	region	572252	572368	117
non_coding_575	region	572922	572921	0
non_coding_579	region	573871	573956	86
non_coding_580	region	574340	574529	190
non_coding_582	region	575718	577398	1681
non_coding_583	region	577614	577613	0
non_coding_586	region	578510	578600	91
non_coding_587	region	578894	579184	291
non_coding_588	region	579595	579880	286
non_coding_589	region	580087	580251	165
non_coding_590	region	580446	580834	389
non_coding_593	region	582098	582152	55
non_coding_594	region	582807	582875	69
non_coding_595	region	583061	583681	621
non_coding_596	region	584431	584680	250
non_coding_597	region	585634	586147	514
non_coding_598	region	586909	587091	183
non_coding_599	region	587982	587982	1
non_coding_601	region	593179	593328	150
non_coding_603	region	595444	595600	157
non_coding_604	region	596974	597131	158
non_coding_605	region	597464	597479	16
non_coding_606	region	598703	598714	12
non_coding_607	region	601858	601959	102
non_coding_608	region	603336	603416	81
non_coding_609	region	604664	604771	108
non_coding_610	region	605425	605518	94
non_coding_611	region	605887	605951	65
non_coding_612	region	606200	606265	66
non_coding_613	region	607384	607733	350
non_coding_614	region	607793	607836	44
non_coding_615	region	607989	608065	77
non_coding_616	region	609178	609459	282
non_coding_617	region	610080	610254	175
non_coding_618	region	612495	612737	243
non_coding_619	region	613940	613942	3
non_coding_621	region	618039	618254	216
non_coding_625	region	622190	622300	111
non_coding_626	region	623551	623554	4
non_coding_627	region	624511	624885	375
non_coding_628	region	626061	626070	10
non_coding_629	region	627681	627694	14
non_coding_630	region	628552	628551	0
non_coding_631	region	629298	629300	3
non_coding_632	region	629714	629894	181
non_coding_633	region	632000	632182	183
non_coding_634	region	632380	632389	10
non_coding_635	region	633478	633586	109
non_coding_636	region	634747	634747	1
non_coding_638	region	636570	636716	147
non_coding_639	region	637619	637827	209
non_coding_640	region	638574	638945	372
non_coding_641	region	639509	639753	245
non_coding_642	region	641319	641439	121
non_coding_643	region	641868	642088	221
non_coding_644	region	643327	643330	4
non_coding_645	region	643420	643557	138
non_coding_646	region	643968	644197	230
non_coding_647	region	645004	645117	114
non_coding_648	region	646581	646631	51
non_coding_650	region	648036	648039	4
non_coding_651	region	649572	649582	11
non_coding_653	region	650784	650798	15
non_coding_654	region	651857	652235	379
non_coding_656	region	654543	654583	41
non_coding_657	region	655969	656557	589
non_coding_658	region	657118	657292	175
non_coding_659	region	657502	657555	54
non_coding_660	region	657939	658031	93
non_coding_661	region	658819	658947	129
non_coding_662	region	659151	659251	101
non_coding_663	region	660217	660425	209
non_coding_664	region	661379	661637	259
non_coding_665	region	662279	662379	101
non_coding_666	region	662643	662752	110
non_coding_667	region	663964	664102	139
non_coding_668	region	665191	665201	11
non_coding_669	region	666314	666316	3
non_coding_670	region	668218	668248	31
non_coding_671	region	668716	668719	4
non_coding_672	region	669037	669296	260
non_coding_673	region	669908	669931	24
non_coding_674	region	670573	670574	2
non_coding_675	region	671606	671605	0
non_coding_676	region	672187	672201	15
non_coding_677	region	674784	675018	235
non_coding_678	region	675501	675570	70
non_coding_679	region	676548	676711	164
non_coding_681	region	678843	678852	10
non_coding_682	region	679407	679508	102
non_coding_684	region	681664	681723	60
non_coding_685	region	683394	683477	84
non_coding_686	region	684413	684530	118
non_coding_687	region	685256	685255	0
non_coding_688	region	685930	685929	0
non_coding_689	region	686670	686681	12
non_coding_691	region	687748	687997	250
non_coding_692	region	688978	689343	366
non_coding_693	region	690882	690906	25
non_coding_694	region	691785	691874	90
non_coding_696	region	693379	693531	153
non_coding_697	region	694956	695101	146
non_coding_698	region	696277	696430	154
non_coding_699	region	696505	696542	38
non_coding_700	region	696617	696664	48
non_coding_701	region	696741	696756	16
non_coding_702	region	696831	696865	35
non_coding_703	region	696940	696963	24
non_coding_704	region	697048	697057	10
non_coding_705	region	697134	697513	380
non_coding_706	region	699178	699574	397
non_coding_707	region	700327	700374	48
non_coding_708	region	701595	701603	9
non_coding_709	region	702752	702811	60
non_coding_710	region	703612	703944	333
non_coding_711	region	705891	706093	203
non_coding_712	region	707758	708236	479
non_coding_713	region	708334	708334	1
non_coding_714	region	709741	709790	50
non_coding_715	region	710117	710200	84
non_coding_717	region	710726	710935	210
non_coding_718	region	711466	711605	140
non_coding_719	region	711899	712038	140
non_coding_720	region	712803	712987	185
non_coding_721	region	713533	713558	26
non_coding_722	region	715199	715412	214
non_coding_723	region	715907	715947	41
non_coding_724	region	716598	716721	124
non_coding_725	region	716871	716946	76
non_coding_727	region	720461	720718	258
non_coding_728	region	720823	721056	234
non_coding_731	region	724980	724988	9
non_coding_732	region	727037	727059	23
non_coding_733	region	728733	728732	0
non_coding_734	region	728822	729134	313
non_coding_735	region	729341	729583	243
non_coding_736	region	733777	733776	0
non_coding_737	region	734103	734220	118
non_coding_739	region	736220	736445	226
non_coding_740	region	736700	736900	201
non_coding_741	region	737962	738092	131
non_coding_742	region	738854	739001	148
non_coding_744	region	740926	741075	150
non_coding_745	region	742557	742827	271
non_coding_746	region	743571	743593	23
non_coding_749	region	745900	745935	36
non_coding_751	region	747770	747921	152
non_coding_753	region	749708	749722	15
non_coding_754	region	752170	752229	60
non_coding_755	region	752796	753185	390
non_coding_756	region	754469	754658	190
non_coding_758	region	754782	755177	396
non_coding_760	region	755908	755907	0
non_coding_761	region	757674	757689	16
non_coding_762	region	758406	758706	301
non_coding_763	region	761508	761522	15
non_coding_764	region	762740	763014	275
non_coding_765	region	764181	764180	0
non_coding_766	region	765050	765050	1
non_coding_767	region	765151	765153	3
non_coding_768	region	765876	765984	109
non_coding_769	region	767961	767978	18
non_coding_770	region	770612	771458	847
non_coding_771	region	773027	773042	16
non_coding_772	region	774182	774196	15
non_coding_773	region	774310	774309	0
non_coding_774	region	774603	774752	150
non_coding_776	region	775846	775849	4
non_coding_777	region	776278	776342	65
non_coding_778	region	777608	777740	133
non_coding_779	region	779033	779067	35
non_coding_780	region	779589	779598	10
non_coding_781	region	780390	780554	165
non_coding_782	region	780630	780765	136
non_coding_783	region	780841	780843	3
non_coding_784	region	780919	781068	150
non_coding_785	region	781144	781147	4
non_coding_786	region	781223	781369	147
non_coding_787	region	781445	781577	133
non_coding_788	region	781653	782085	433
non_coding_789	region	783129	783166	38
non_coding_791	region	784824	784937	114
non_coding_792	region	785318	785633	316
non_coding_793	region	786686	786843	158
non_coding_794	region	787596	787797	202
non_coding_796	region	789980	789983	4
non_coding_797	region	791030	791039	10
non_coding_798	region	792056	792316	261
non_coding_799	region	793789	793856	68
non_coding_800	region	794645	794773	129
non_coding_801	region	794923	795089	167
non_coding_802	region	795863	795862	0
non_coding_803	region	796552	796554	3
non_coding_804	region	797613	797613	1
non_coding_805	region	798432	798586	155
non_coding_806	region	799582	799622	41
non_coding_807	region	800576	800759	184
non_coding_808	region	801812	801887	76
non_coding_809	region	803321	803503	183
non_coding_810	region	805765	805998	234
non_coding_811	region	807282	807433	152
non_coding_812	region	807910	807968	59
non_coding_813	region	809258	809344	87
non_coding_817	region	812948	813526	579
non_coding_818	region	815548	815739	192
non_coding_819	region	816648	817044	397
non_coding_820	region	818034	818055	22
non_coding_821	region	818568	818570	3
non_coding_823	region	819294	819295	2
non_coding_824	region	819748	819884	137
non_coding_825	region	820589	820793	205
non_coding_826	region	821507	821542	36
non_coding_827	region	822499	822498	0
non_coding_829	region	824498	824630	133
non_coding_831	region	826109	826119	11
non_coding_834	region	829973	829972	0
non_coding_835	region	830644	830872	229
non_coding_836	region	832237	832468	232
non_coding_837	region	832951	833070	120
non_coding_838	region	835221	835248	28
non_coding_839	region	836211	836351	141
non_coding_842	region	837563	837665	103
non_coding_843	region	837926	838190	265
non_coding_844	region	838457	838530	74
non_coding_845	region	839208	839249	42
non_coding_846	region	841532	841796	265
non_coding_847	region	842057	842332	276
non_coding_849	region	845481	845741	261
non_coding_851	region	847120	847258	139
non_coding_852	region	848005	848408	404
non_coding_853	region	848912	849210	299
non_coding_854	region	850098	850332	235
non_coding_855	region	850398	850450	53
non_coding_856	region	850966	851014	49
non_coding_857	region	852598	852725	128
non_coding_859	region	852998	853183	186
non_coding_861	region	854766	854824	59
non_coding_862	region	855745	855963	219
non_coding_863	region	857556	857796	241
non_coding_864	region	859062	859213	152
non_coding_865	region	860029	860174	146
non_coding_866	region	862607	862612	6
non_coding_867	region	863512	863642	131
non_coding_868	region	864305	864380	76
non_coding_869	region	865130	865129	0
non_coding_870	region	866365	866568	204
non_coding_872	region	869392	869411	20
non_coding_873	region	870950	870967	18
non_coding_874	region	871888	871890	3
non_coding_875	region	872802	872979	178
non_coding_876	region	875328	875335	8
non_coding_877	region	876664	876710	47
non_coding_878	region	878036	878248	213
non_coding_879	region	878632	878742	111
non_coding_881	region	880481	880727	247
non_coding_882	region	881930	881976	47
non_coding_883	region	882735	882792	58
non_coding_884	region	883389	883673	285
non_coding_885	region	884906	884946	41
non_coding_886	region	885231	885316	86
non_coding_887	region	886132	886131	0
non_coding_888	region	887340	887423	84
non_coding_889	region	887960	887979	20
non_coding_890	region	888058	888134	77
non_coding_891	region	889820	890089	270
non_coding_892	region	890467	890496	30
non_coding_893	region	890754	890913	160
non_coding_895	region	891907	891967	61
non_coding_896	region	892870	892957	88
non_coding_897	region	893434	893784	351
non_coding_898	region	894897	894991	95
non_coding_899	region	896125	896134	10
non_coding_901	region	897930	897989	60
non_coding_902	region	898478	898518	41
non_coding_903	region	899646	899844	199
non_coding_904	region	900576	900866	291
non_coding_905	region	901535	901534	0
non_coding_906	region	902251	902257	7
non_coding_907	region	902989	903006	18
non_coding_908	region	903735	903952	218
non_coding_909	region	904468	904593	126
non_coding_912	region	906754	906852	99
non_coding_913	region	908283	908293	11
non_coding_914	region	909295	909331	37
non_coding_915	region	911050	911182	133
non_coding_916	region	912151	912162	12
non_coding_917	region	913815	913958	144
non_coding_918	region	914858	915352	495
non_coding_919	region	916048	916473	426
non_coding_921	region	919121	919235	115
non_coding_923	region	922294	922366	73
non_coding_924	region	922591	922740	150
non_coding_925	region	922815	922913	99
non_coding_926	region	923234	923264	31
non_coding_927	region	925541	925884	344
non_coding_928	region	925972	926225	254
non_coding_929	region	926444	926728	285
non_coding_930	region	927433	927474	42
non_coding_931	region	929196	929196	1
non_coding_932	region	930963	931085	123
non_coding_933	region	932051	932595	545
non_coding_934	region	933090	933224	135
non_coding_935	region	937214	937372	159
non_coding_936	region	937984	937994	11
non_coding_937	region	939338	939428	91
non_coding_938	region	940721	940959	239
non_coding_939	region	943404	943414	11
non_coding_940	region	944032	944033	2
non_coding_941	region	944897	944931	35
non_coding_942	region	945558	945871	314
non_coding_943	region	947020	947229	210
non_coding_944	region	948660	948660	1
non_coding_945	region	949569	949668	100
non_coding_946	region	950259	950340	82
non_coding_947	region	951081	951272	192
non_coding_948	region	953555	953609	55
non_coding_949	region	954467	954872	406
non_coding_950	region	956633	956762	130
non_coding_951	region	957455	957653	199
non_coding_952	region	958742	958812	71
non_coding_953	region	960096	960264	169
non_coding_954	region	961029	961201	173
non_coding_955	region	961885	961995	111
non_coding_956	region	963669	963828	160
non_coding_957	region	964113	964320	208
non_coding_958	region	966585	966621	37
non_coding_960	region	969353	969389	37
non_coding_961	region	970622	970673	52
non_coding_963	region	971599	971752	154
