locus_tag	gene_name	start_site	end_site	gene_length
b0075	leuL	83622	83708	87
b0076	leuO	84368	85312	945
b4726	yabR	85467	85511	45
b0077	ilvI	85630	87354	1725
b0078	ilvH	87357	87848	492
b0080	cra	88028	89032	1005
b0081	mraZ	89634	90092	459
b0082	rsmH	90094	91035	942
b0083	ftsL	91032	91397	366
b0084	ftsI	91413	93179	1767
b4810	ftsO	92485	92658	174
b0085	murE	93166	94653	1488
b0086	murF	94650	96008	1359
b0087	mraY	96002	97084	1083
b0088	murD	97087	98403	1317
b0089	ftsW	98403	99647	1245
b0090	murG	99644	100711	1068
b0091	murC	100765	102240	1476
b0092	ddlB	102233	103153	921
b0093	ftsQ	103155	103985	831
b0094	ftsA	103982	105244	1263
b0095	ftsZ	105305	106456	1152
b0096	lpxC	106557	107474	918
b0097	secM	107705	108217	513
b0098	secA	108279	110984	2706
b0099	mutT	111044	111433	390
b0101	yacG	111649	111846	198
b0102	zapD	111856	112599	744
b0103	coaE	112599	113219	621
b4727	yacM	113244	113288	45
b0104	guaC	113444	114487	1044
b0106	hofC	114522	115724	1203
b0107	hofB	115714	117099	1386
b0108	ppdD	117109	117549	441
b0109	nadC	117752	118645	894
b0110	ampD	118733	119284	552
b0111	ampE	119281	120135	855
b0112	aroP	120178	121551	1374
b0113	pdhR	122092	122856	765
b0114	aceE	123017	125680	2664
b0115	aceF	125695	127587	1893
b0116	lpd	127912	129336	1425
b0117	yacH	129407	131260	1854
b0118	acnB	131615	134212	2598
b0119	yacL	134388	134750	363
b0120	speD	134788	135582	795
b0121	speE	135598	136464	867
b0122	yacC	136570	136917	348
b0123	cueO	137083	138633	1551
b0124	gcd	138835	141225	2391
b0125	hpt	141431	141967	537
b0126	can	142008	142670	663
b0127	yadG	142779	143705	927
b0128	yadH	143702	144472	771
b0129	yadI	144577	145017	441
b0130	yadE	145081	146310	1230
b0131	panD	146314	146694	381
b0132	rpnC	146968	147870	903
b0133	panC	147944	148795	852
b0134	panB	148807	149601	795
b0135	yadC	149715	150953	1239
b0136	yadK	151003	151599	597
b0137	yadL	151626	152231	606
b0138	yadM	152243	152812	570
b0139	htrE	152829	155426	2598
b0140	yadV	155461	156201	741
b0141	yadN	156299	156883	585
b0142	folK	157253	157732	480
b0143	pcnB	157729	159126	1398
b0144	gluQ	159186	160112	927
b0145	dksA	160149	160604	456
b0146	sfsA	160782	161486	705
b0147	thpR	161501	162031	531
b0148	hrpB	162105	164534	2430
b0149	mrcB	164730	167264	2535
b0150	fhuA	167484	169727	2244
b0151	fhuC	169778	170575	798
b0152	fhuD	170575	171465	891
b0153	fhuB	171462	173444	1983
b0154	hemL	173602	174882	1281
b4765	yadX	175048	175095	48
b0155	clcA	175107	176528	1422
b4728	yadW	176552	176617	66
b0156	erpA	176610	176954	345
b0157	yadS	177001	177624	624
b0158	btuF	177662	178462	801
b0159	mtn	178455	179153	699
b0160	dgt	179237	180754	1518
b0161	degP	180884	182308	1425
b0162	cdaR	182463	183620	1158
b0163	yaeH	183709	184095	387
b0164	yaeI	184257	185069	813
b0166	dapD	185123	185947	825
b0167	glnD	185978	188650	2673
b0168	map	188712	189506	795
b4414	tff	189712	189847	136
b0169	rpsB	189874	190599	726
b0170	tsf	190857	191708	852
b0171	pyrH	191855	192580	726
b0172	frr	192872	193429	558
b0173	dxr	193521	194717	1197
b4809	ispZ	194784	194844	61
b0174	ispU	194903	195664	762
b0175	cdsA	195677	196534	858
b0176	rseP	196546	197898	1353
b0177	bamA	197928	200360	2433
b0178	skp	200482	200967	486
b0179	lpxD	200971	201996	1026
b0180	fabZ	202101	202556	456
b0181	lpxA	202560	203348	789
b0182	lpxB	203348	204496	1149
b0183	rnhB	204493	205089	597
b0184	dnaE	205126	208608	3483
b0185	accA	208621	209580	960
b0186	ldcC	209679	211820	2142
b0187	yaeR	211877	212266	390
b0188	tilS	212331	213629	1299
b0189	rof	213678	213932	255
b4406	yaeP	213925	214125	201
b0190	yaeQ	214291	214836	546
b0191	arfB	214833	215255	423
b0192	nlpE	215269	215979	711
b0193	yaeF	216179	217003	825
b0194	proS	217057	218775	1719
b0195	trmO	218887	219594	708
b0196	rcsF	219591	219995	405
b0197	metQ	220113	220928	816
b0198	metI	220968	221621	654
b0199	metN	221614	222645	1032
b0200	gmhB	222833	223408	576
b0201	rrsH	223771	225312	1542
b0202	ileV	225381	225457	77
b0203	alaV	225500	225575	76
b0204	rrlH	225759	228662	2904
b0205	rrfH	228756	228875	120
b0206	aspU	228928	229004	77
b0207	dkgB	229167	229970	804
b0208	yafC	229967	230881	915
b0209	yafD	231122	231922	801
b0210	yafE	231926	232549	624
b0211	mltD	232597	233955	1359
b0212	gloB	234027	234782	756
b4815	ykfO	234288	234320	33
b0213	yafS	234816	235538	723
b0214	rnhA	235535	236002	468
b0215	dnaQ	236067	236798	732
b0216	aspV	236931	237007	77
b0217	yafT	237335	238120	786
b4586	ykfM	238257	238736	480
b0218	yafU	238746	239084	339
b4503	yafF	239190	239378	189
b0219	yafV	239419	240189	771
b0220	ivy	240343	240816	474
b0221	fadE	240859	243303	2445
b0222	gmhA	243543	244121	579
b0223	yafJ	244327	245094	768
b0224	dpaA	245065	245805	741
b0225	yafQ	245961	246239	279
b0226	dinJ	246242	246502	261
b0227	yafL	246712	247461	750
b0228	rayT	247637	248134	498
b0229	lfhA	248358	250070	1713
b0230	lafU	250072	250827	756
b0231	dinB	250898	251953	1056
b0232	yafN	252005	252298	294
b0233	yafO	252301	252699	399
b0234	yafP	252709	253161	453
b0235	ykfJ	253467	253733	267
b0236	prfH	253702	254202	501
b0237	pepD	254259	255716	1458
b0238	gpt	255977	256435	459
b0239	frsA	256527	257771	1245
b0240	crl	257829	259006	1178
b4710	insB9	257923	258426	504
b4709	insA9	258345	258620	276
b0241	phoE	259045	260100	1056
b0242	proB	260388	261491	1104
b0243	proA	261503	262756	1254
b0244	thrW	262871	262946	76
b4626	ykfN	263150	263212	63
b0245	ykfI	263328	263669	342
b0246	yafW	263690	264007	318
b4504	ykfH	264026	264247	222
b0247	ykfG	264256	264732	477
b0248	yafX	264748	265206	459
b0249	ykfF	265304	265543	240
b0250	ykfB	265620	266087	468
b0251	yafY	266110	266553	444
b4627	ykfL	266553	266774	222
b4628	ykfK	266776	266967	192
b0252	yafZ	267184	268005	822
b0253	ykfA	268097	268960	864
b0254	perR	269289	270182	894
b4587	insN	270278	272190	1913
b0256	insI1	270603	271754	1152
b4690	eyeA	272580	272654	75
b0258	ykfC	272847	273992	1146
b0259	insH1	274101	275081	981
b0260	mmuP	275325	276728	1404
b0261	mmuM	276715	277647	933
b0262	afuC	277756	278802	1047
b0263	afuB	278814	279162	349
b0264	insB2	279178	279681	504
b0265	insA2	279600	279875	276
b4708	insI2	279931	280104	174
b4505	insX	280114	280362	249
b0266	yagB	280385	280735	351
b0267	yagA	280829	281983	1155
b0268	yagE	282278	283186	909
b0269	yagF	283201	285168	1968
b0270	yagG	285395	286777	1383
b0271	yagH	286789	288399	1611
b0272	xynR	288404	289162	759
b0273	argF	289301	290305	1005
b4766	argL	290275	290370	96
b4688	ykgS	290510	290638	129
b0274	insB3	290649	291152	504
b0275	insA3	291071	291346	276
b0276	yagJ	291500	292231	732
b0277	yagK	292322	292948	627
b0278	yagL	293220	293918	699
b0279	yagM	293945	294799	855
b4729	ykgV	294918	295142	225
b0280	yagN	295139	295579	441
b0281	intF	295696	297096	1401
b0282	yagP	297381	297791	411
b0283	paoD	297770	298726	957
b0284	paoC	298736	300934	2199
b0285	paoB	300931	301887	957
b0286	paoA	301884	302573	690
b0287	yagU	302991	303605	615
b0288	ykgJ	303853	304182	330
b0289	ecpE	304495	305205	711
b0290	ecpD	305174	306817	1644
b0291	ecpC	306807	309332	2526
b0292	ecpB	309358	310026	669
b0293	ecpA	310084	310671	588
b0294	matA	310746	311336	591
b0295	ykgL	312112	312339	228
b4506	ykgO	312374	312514	141
b0296	ykgM	312514	312777	264
b4671	ykgR	313141	313242	102
b4630	ykgP	313716	313805	90
b0297	eaeH	314357	315244	888
b0298	insE1	315291	315590	300
b0299	insF1	315587	316453	867
b0300	ykgA	316450	317136	687
b4631	ykgQ	317439	317567	129
b0301	rclC	317726	318319	594
b0303	rclB	318331	318567	237
b0304	rclA	318676	320001	1326
b0305	rclR	320227	321081	855
b0306	ykgE	321608	322327	720
b0307	ykgF	322338	323765	1428
b0308	ykgG	323758	324453	696
b0310	ykgH	324696	325364	669
b0311	betA	325577	327247	1671
b0312	betB	327261	328733	1473
b0313	betI	328747	329334	588
b0314	betT	329463	331496	2034
b4730	yahV	331802	331876	75
b0315	pdeL	332371	333459	1089
b0316	yahB	333501	334433	933
b0317	yahC	334525	335022	498
b0318	yahD	335280	335885	606
b0319	yahE	335925	336788	864
b0320	yahF	336778	338325	1548
b0321	yahG	338325	339743	1419
b0322	yahH	339769	340089	321
b0323	yahI	340165	341115	951
b0324	yahJ	341125	342507	1383
b0325	yahK	342884	343933	1050
b0326	yahL	344176	344991	816
b0327	yahM	345404	345649	246
b0328	yahN	345666	346337	672
b0329	yahO	346484	346759	276
b0330	prpR	346857	348443	1587
b0331	prpB	348682	349572	891
b0333	prpC	350012	351181	1170
b0334	prpD	351215	352666	1452
b0335	prpE	352706	354592	1887
b0336	codB	354922	356181	1260
b0337	codA	356171	357454	1284
b0338	cynR	357791	358690	900
b0339	cynT	358799	359458	660
b0340	cynS	359489	359959	471
b0341	cynX	359992	361146	1155
b0342	lacA	361249	361860	612
b0343	lacY	361926	363179	1254
b0344	lacZ	363231	366305	3075
b0345	lacI	366428	367510	1083
b0346	mhpR	367587	368420	834
b0347	mhpA	368611	370275	1665
b0348	mhpB	370277	371221	945
b0349	mhpC	371239	372105	867
b0350	mhpD	372115	372924	810
b0351	mhpF	372921	373871	951
b0352	mhpE	373868	374881	1014
b0353	mhpT	375459	376670	1212
b0354	yaiL	376772	377311	540
b0355	frmB	377535	378368	834
b0356	frmA	378462	379571	1110
b0357	frmR	379606	379881	276
b0358	yaiO	380069	380842	774
b4579	yaiX	380844	382872	2029
b0360	insC1	381351	381716	366
b0361	insD1	381674	382579	906
b0363	yaiP	382739	383935	1197
b4731	ykiC	383960	384079	120
b0364	yaiS	384059	384616	558
b0365	tauA	385232	386194	963
b0366	tauB	386207	386974	768
b0367	tauC	386971	387798	828
b0368	tauD	387795	388646	852
b0369	hemB	388753	389727	975
b4580	yaiT	390251	394418	4168
b4767	ytiB	391592	391648	57
b0372	insF2	391739	392605	867
b0373	insE2	392602	392901	300
b0375	iprA	394506	395129	624
b0376	ampH	395130	396287	1158
b0377	sbmA	396639	397859	1221
b0378	yaiW	397872	398966	1095
b0379	yaiY	399025	399333	309
b0380	yaiZ	399593	399805	213
b0381	ddlA	399829	400923	1095
b0382	iraP	401386	401646	261
b0383	phoA	401747	403162	1416
b0384	psiF	403281	403601	321
b0385	dgcC	403703	404818	1116
b0386	proC	404835	405644	810
b0387	yaiI	405764	406222	459
b0388	aroL	406405	406929	525
b0389	yaiA	406979	407170	192
b0390	aroM	407428	408105	678
b0391	ppnP	408177	408461	285
b0392	ykiA	408609	408950	342
b4732	ykiD	408947	409030	84
b0393	rdgC	409108	410019	912
b0394	mak	410144	411052	909
b0396	araJ	411297	412481	1185
b0397	sbcC	412607	415753	3147
b0398	sbcD	415750	416952	1203
b0399	phoB	417142	417831	690
b0400	phoR	417889	419184	1296
b0401	brnQ	419591	420910	1320
b0402	proY	420986	422359	1374
b0403	malZ	422518	424332	1815
b0404	acpH	424337	424918	582
b0405	queA	425011	426081	1071
b0406	tgt	426137	427264	1128
b0407	yajC	427287	427619	333
b0408	secD	427647	429494	1848
b0409	secF	429505	430476	972
b0410	yajD	430605	430952	348
b0411	tsx	431129	432013	885
b0412	yajI	432312	432851	540
b0413	nrdR	433002	433451	450
b0414	ribD	433455	434558	1104
b0415	ribE	434647	435117	471
b0416	nusB	435137	435556	420
b0417	thiL	435634	436611	978
b0418	pgpA	436589	437107	519
b0419	yajO	437161	438135	975
b0420	dxs	438315	440177	1863
b0421	ispA	440202	441101	900
b0422	xseB	441101	441343	243
b0423	thiI	441549	442997	1449
b0424	yajL	443051	443641	591
b0425	panE	443604	444515	912
b0426	yajQ	444683	445174	492
b0427	yajR	445302	446666	1365
b0428	cyoE	446815	447705	891
b0429	cyoD	447717	448046	330
b0430	cyoC	448046	448660	615
b0431	cyoB	448650	450641	1992
b0432	cyoA	450663	451610	948
b0433	ampG	452070	453545	1476
b0434	yajG	453589	454167	579
b0435	bolA	454472	454789	318
b0436	tig	455133	456431	1299
b0437	clpP	456677	457300	624
b0438	clpX	457426	458700	1275
b0439	lon	458888	461242	2355
b0440	hupB	461451	461723	273
b0441	ppiD	461915	463786	1872
b0442	ybaV	463937	464308	372
b0443	fadM	464402	464800	399
b0444	queC	464852	465547	696
b0445	ybaE	465612	467312	1701
b0446	cof	467412	468230	819
b0447	decR	468383	468841	459
b0448	mdlA	468871	470643	1773
b0449	mdlB	470636	472417	1782
b0450	glnK	472598	472936	339
b0451	amtB	472966	474252	1287
b0452	tesB	474301	475161	861
b0453	ybaY	475379	475951	573
b0454	ybaZ	475982	476371	390
b0455	ffs	476448	476561	114
b0456	ybaA	476672	477025	354
b0457	pdeB	477067	478617	1551
b0458	ylaC	478781	479251	471
b0459	maa	479367	479918	552
b0460	hha	480090	480308	219
b0461	tomB	480334	480708	375
b0462	acrB	481254	484403	3150
b0463	acrA	484426	485619	1194
b0464	acrR	485761	486408	648
b0465	mscK	486536	489898	3363
b0466	ybaM	490110	490271	162
b0467	priC	490285	490812	528
b0468	ybaN	490882	491259	378
b0469	apt	491412	491963	552
b0470	dnaX	492092	494023	1932
b0471	ybaB	494076	494405	330
b0472	recR	494405	495010	606
b0473	htpG	495120	496994	1875
b0474	adk	497175	497819	645
b0475	hemH	498055	499017	963
b0476	aes	499014	499973	960
b0477	gsk	500125	501429	1305
b0478	ybaL	501562	503238	1677
b0479	fsr	503476	504696	1221
b0480	ushA	504914	506566	1653
b0481	ybaK	506603	507082	480
b4585	chiX	507204	507287	84
b0482	ybaP	507286	508080	795
b0483	ybaQ	508218	508559	342
b0484	copA	508875	511379	2505
b0485	glsA	511641	512573	933
b0486	ybaT	512576	513868	1293
b0487	cueR	513993	514400	408
b0488	ybbJ	514401	514859	459
b0489	qmcA	514856	515773	918
b0490	fetA	515919	516596	678
b0491	fetB	516583	517362	780
b0492	cnoX	517425	518279	855
b0493	ybbO	518340	519149	810
b0494	tesA	519139	519765	627
b0495	ybbA	519733	520419	687
b0496	ybbP	520416	522830	2415
b0497	rhsD	523261	527541	4281
b0498	ybbC	527581	527949	369
b0499	ylbH	527949	528659	711
b0501	ybbD	528640	529130	491
b4632	ylbI	529497	529592	96
b0502	ylbG	529645	530016	372
b0503	selU	530132	531226	1095
b0504	allS	531295	532221	927
b0505	allA	532451	532933	483
b0506	allR	533011	533826	816
b4831	allZ	533629	533863	235
b0507	gcl	533916	535697	1782
b0508	hyi	535710	536486	777
b0509	glxR	536586	537464	879
b0511	ybbW	537633	539087	1455
b0512	allB	539147	540508	1362
b0513	ybbY	540565	541866	1302
b0514	glxK	541888	543033	1146
b0515	allE	543261	544046	786
b0516	allC	544057	545292	1236
b0517	allD	545314	546363	1050
b0518	fdrA	546680	548347	1668
b4572	ylbE	548357	549616	1260
b0520	ylbF	549627	550442	816
b0521	ybcF	550439	551332	894
b0522	purK	551527	552594	1068
b0523	purE	552591	553100	510
b0524	lpxH	553218	553940	723
b0525	ppiB	553943	554437	495
b0526	cysS	554611	555996	1386
b0527	ybcI	556032	556553	522
b0528	ybcJ	556661	556873	213
b0529	folD	556875	557741	867
b0530	sfmA	558212	558754	543
b0531	sfmC	558974	559666	693
b0532	sfmD	559697	562300	2604
b0533	sfmH	562336	563319	984
b0534	sfmF	563330	563845	516
b0535	fimZ	563848	564480	633
b0536	argU	564723	564799	77
b0537	intD	564815	565978	1164
b4633	xisD	565858	566079	222
b0539	exoD	566098	566361	264
b4508	peaD	566376	566687	312
b0542	renD	566684	568247	1564
b0540	insE3	566842	567141	300
b0541	insF3	567138	568004	867
b0543	emrE	568315	568647	333
b4733	ylcJ	568695	568844	150
b0544	ybcK	568902	570428	1527
b0545	ybcL	570893	571444	552
b0546	ybcM	571454	572251	798
b4588	ylcH	572368	572469	102
b0547	ybcN	572466	572921	456
b0548	ninE	572921	573091	171
b0549	ybcO	573084	573374	291
b0550	rusA	573371	573733	363
b4509	ylcG	573730	573870	141
b0551	quuD	573956	574339	384
b0553	nmpC	574529	576825	2297
b0552	insH2	574737	575717	981
b0554	essD	577398	577613	216
b0555	rrrD	577613	578110	498
b0556	rzpD	578107	578568	462
b4510	rzoD	578327	578509	183
b0557	borD	578600	578893	294
b0558	ybcV	579184	579594	411
b0559	ybcW	579880	580086	207
b4589	ylcI	580251	580445	195
b0560	nohD	580834	581379	546
b4634	aaaD	581354	581662	309
b0561	tfaD	581534	582097	564
b0562	ybcY	582152	582806	655
b0563	tfaX	582875	583060	186
b0564	appY	583681	584430	750
b0565	ompT	584680	585633	954
b0566	envY	586147	586908	762
b0567	ybcH	587091	587981	891
b0568	nfrA	587982	590954	2973
b0569	nfrB	590941	593178	2238
b0570	cusS	593328	594770	1443
b0571	cusR	594760	595443	684
b0572	cusC	595600	596973	1374
b0573	cusF	597131	597463	333
b0574	cusB	597479	598702	1224
b0575	cusA	598714	601857	3144
b0576	pheP	601959	603335	1377
b0577	ybdG	603416	604663	1248
b0578	nfsB	604771	605424	654
b0579	ybdF	605518	605886	369
b0580	ybdJ	605951	606199	249
b0581	ybdK	606265	607383	1119
b4835	sokE	607733	607792	60
b4415	hokE	607836	607988	153
b0582	insL2	608065	609177	1113
b0583	entD	609459	610079	621
b0584	fepA	610254	612494	2241
b0585	fes	612737	613939	1203
b4511	ybdZ	613942	614160	219
b0586	entF	614157	618038	3882
b0587	fepE	618254	619387	1134
b0588	fepC	619384	620199	816
b0589	fepG	620196	621188	993
b0590	fepD	621185	622189	1005
b0591	entS	622300	623550	1251
b0592	fepB	623554	624510	957
b0593	entC	624885	626060	1176
b0594	entE	626070	627680	1611
b0595	entB	627694	628551	858
b0596	entA	628551	629297	747
b0597	entH	629300	629713	414
b0598	cstA	629894	631999	2106
b4512	ybdD	632182	632379	198
b0599	hcxA	632389	633477	1089
b0600	ybdL	633586	634746	1161
b0601	ybdM	634747	635376	630
b0602	ybdN	635349	636569	1221
b0603	ybdO	636716	637618	903
b0604	dsbG	637827	638573	747
b0605	ahpC	638945	639508	564
b0606	ahpF	639753	641318	1566
b0607	uspG	641439	641867	429
b0608	ybdR	642088	643326	1239
b4734	yldA	643330	643419	90
b0610	rnk	643557	643967	411
b0611	rna	644197	645003	807
b0612	citT	645117	646580	1464
b0613	citG	646631	647509	879
b0614	citX	647484	648035	552
b0615	citF	648039	649571	1533
b0616	citE	649582	650490	909
b0617	citD	650487	650783	297
b0618	citC	650798	651856	1059
b0619	dpiB	652235	653893	1659
b0620	dpiA	653862	654542	681
b0621	dcuC	654583	655968	1386
b0622	pagP	656557	657117	561
b0623	cspE	657292	657501	210
b0624	crcB	657555	657938	384
b4581	ybeM	658031	658818	788
b0627	tatE	658947	659150	204
b0628	lipA	659251	660216	966
b0629	ybeF	660425	661378	954
b0630	lipB	661637	662278	642
b0631	ybeD	662379	662642	264
b0632	dacA	662752	663963	1212
b0633	rlpA	664102	665190	1089
b0634	mrdB	665201	666313	1113
b0635	mrdA	666316	668217	1902
b0636	rlmH	668248	668715	468
b0637	rsfS	668719	669036	318
b0638	cobC	669296	669907	612
b0639	nadD	669931	670572	642
b0640	holA	670574	671605	1032
b0641	lptE	671605	672186	582
b0642	leuS	672201	674783	2583
b0643	ybeL	675018	675500	483
b0644	ybeQ	675570	676547	978
b0645	ybeR	676711	677418	708
b0646	djlB	677415	678842	1428
b0647	ybeT	678852	679406	555
b0648	ybeU	679508	680215	708
b0649	djlC	680212	681663	1452
b0650	hscC	681723	683393	1671
b0651	rihA	683477	684412	936
b0652	gltL	684530	685255	726
b0653	gltK	685255	685929	675
b0654	gltJ	685929	686669	741
b4763	sroC	686681	686843	163
b0655	gltI	686839	687747	909
b0656	insH3	687997	688977	981
b0657	lnt	689343	690881	1539
b0658	ybeX	690906	691784	879
b0659	ybeY	691874	692341	468
b0660	ybeZ	692338	693378	1041
b0661	miaB	693531	694955	1425
b0662	ubiF	695101	696276	1176
b0664	glnX	696430	696504	75
b0665	glnV	696542	696616	75
b0666	metU	696664	696740	77
b0668	glnW	696756	696830	75
b0670	glnU	696865	696939	75
b0672	leuW	696963	697047	85
b0673	metT	697057	697133	77
b0674	asnB	697513	699177	1665
b0675	umpH	699574	700326	753
b0676	nagC	700374	701594	1221
b0677	nagA	701603	702751	1149
b0678	nagB	702811	703611	801
b0679	nagE	703944	705890	1947
b0680	glnS	706093	707757	1665
b4808	chiZ	708236	708333	98
b0681	chiP	708334	709740	1407
b0682	chiQ	709790	710116	327
b0683	fur	710200	710646	447
b4637	uof	710639	710725	87
b0684	fldA	710935	711465	531
b0685	ybfE	711605	711898	294
b0686	ybfF	712038	712802	765
b0687	seqA	712987	713532	546
b0688	pgm	713558	715198	1641
b0689	ybfP	715412	715906	495
b0691	ybfG	715947	716597	651
b4636	ybfI	716721	716870	150
b0692	potE	716946	718265	1320
b0693	speF	718262	720460	2199
b4803	speFL	720718	720822	105
b0694	kdpE	721056	721733	678
b0695	kdpD	721730	724414	2685
b0696	kdpC	724407	724979	573
b0697	kdpB	724988	727036	2049
b0698	kdpA	727059	728732	1674
b4513	kdpF	728732	728821	90
b0699	ybfA	729134	729340	207
b0700	rhsC	729583	733776	4194
b0702	ybfB	733776	734102	327
b0703	ybfO	734220	735653	1434
b0704	ybfC	735650	736219	570
b4514	ybfQ	736445	736699	255
b0705	ybfL	736900	737961	1062
b0706	ybfD	738092	738853	762
b0707	ybgA	739001	739510	510
b0708	phr	739507	740925	1419
b0709	dtpD	741075	742556	1482
b0710	ybgI	742827	743570	744
b0711	pxpB	743593	744249	657
b0712	pxpC	744243	745175	933
b0713	pxpA	745165	745899	735
b0714	nei	745935	746726	792
b0715	abrB	746723	747769	1047
b0716	ybgO	747921	748982	1062
b0717	ybgP	748979	749707	729
b0718	ybgQ	749722	752169	2448
b0719	ybgD	752229	752795	567
b0720	gltA	753185	754468	1284
b4768	ybgV	754658	754690	33
b4735	ybgU	754674	754781	108
b0721	sdhC	755177	755566	390
b0722	sdhD	755560	755907	348
b0723	sdhA	755907	757673	1767
b0724	sdhB	757689	758405	717
b0726	sucA	758706	761507	2802
b0727	sucB	761522	762739	1218
b0728	sucC	763014	764180	1167
b0729	sucD	764180	765049	870
b4764	sdhX	765050	765150	101
b0730	mngR	765153	765875	723
b0731	mngA	765984	767960	1977
b0732	mngB	767978	770611	2634
b0733	cydA	771458	773026	1569
b0734	cydB	773042	774181	1140
b4515	cydX	774196	774309	114
b0735	ybgE	774309	774602	294
b0736	ybgC	774752	775156	405
b0737	tolQ	775153	775845	693
b0738	tolR	775849	776277	429
b0739	tolA	776342	777607	1266
b0740	tolB	777740	779032	1293
b0741	pal	779067	779588	522
b0742	cpoB	779598	780389	792
b0743	lysT	780554	780629	76
b0744	valT	780765	780840	76
b0745	lysW	780843	780918	76
b0746	valZ	781068	781143	76
b0747	lysY	781147	781222	76
b0748	lysZ	781369	781444	76
b0749	lysQ	781577	781652	76
b0750	nadA	782085	783128	1044
b0751	pnuC	783166	783885	720
b0752	zitB	783882	784823	942
b0753	ybgS	784937	785317	381
b0754	aroG	785633	786685	1053
b0755	gpmA	786843	787595	753
b0756	galM	787797	788837	1041
b0757	galK	788831	789979	1149
b0758	galT	789983	791029	1047
b0759	galE	791039	792055	1017
b0760	modF	792316	793788	1473
b0761	modE	793856	794644	789
b0762	acrZ	794773	794922	150
b0763	modA	795089	795862	774
b0764	modB	795862	796551	690
b0765	modC	796554	797612	1059
b0766	ybhA	797613	798431	819
b0767	pgl	798586	799581	996
b0768	ybhD	799622	800575	954
b0769	ybhH	800759	801811	1053
b0770	ybhI	801887	803320	1434
b0771	ybhJ	803503	805764	2262
b0772	ybhC	805998	807281	1284
b0773	ybhB	807433	807909	477
b0774	bioA	807968	809257	1290
b0775	bioB	809344	810384	1041
b0776	bioF	810381	811535	1155
b0777	bioC	811522	812277	756
b0778	bioD	812270	812947	678
b0779	uvrB	813526	815547	2022
b0780	ybhK	815739	816647	909
b0781	moaA	817044	818033	990
b0782	moaB	818055	818567	513
b0783	moaC	818570	819055	486
b0784	moaD	819048	819293	246
b0785	moaE	819295	819747	453
b0786	ybhL	819884	820588	705
b0787	ybhM	820793	821506	714
b0788	ybhN	821542	822498	957
b0789	clsB	822498	823739	1242
b0790	ybhP	823736	824497	762
b0791	ybhQ	824630	825040	411
b0792	ybhR	825002	826108	1107
b0793	ybhS	826119	827252	1134
b0794	ybhF	827245	828981	1737
b0795	ybhG	828974	829972	999
b0796	cecR	829972	830643	672
b0797	rhlE	830872	832236	1365
b0798	ybiA	832468	832950	483
b0799	dinG	833070	835220	2151
b0800	ybiB	835248	836210	963
b0801	hcxB	836351	837436	1086
